Repository Name,Date Of Event,Doc Class Name,Total Msgs,Total Size In MB,Exported Date,Email Sent Date
fax.branch.schwab,2023-07-02,=EMAIL=,4,0.00,2023-08-02 22:13,2023-07-02 - 2023-07-02
fax.branch.schwab,2023-07-02,MAILINGLIST,92,0.04,2023-08-02 22:13,2023-07-02 - 2023-07-02
misc.mailouts.schwab,2023-07-02,=EMAIL=,123503,5731.67,2023-08-02 22:13,2023-07-02 - 2023-07-02
misc.mailouts.schwab,2023-07-02,MAILINGLIST,1989160,2901.60,2023-08-02 22:13,2023-07-02 - 2023-07-02
schwab.dom.repository,2023-07-02,=EMAIL=,21243,750.29,2023-08-02 22:13,2023-07-02 - 2023-07-02
carlsbad.branch.h.sv.schwab,2023-07-01,=EMAIL=,3,0.00,2023-08-02 22:14,2023-07-01 - 2023-07-01
carlsbad.branch.h.sv.schwab,2023-07-01,MAILINGLIST,1,0.00,2023-08-02 22:14,2023-07-01 - 2023-07-01
fax.advice.schwab,2023-07-01,=EMAIL=,176,0.09,2023-08-02 22:14,2023-07-01 - 2023-07-01
fax.advice.schwab,2023-07-01,MAILINGLIST,11,0.00,2023-08-02 22:14,2023-07-01 - 2023-07-01
fax.branch.schwab,2023-07-01,=EMAIL=,580,0.30,2023-08-02 22:14,2023-07-01 - 2023-07-01
fax.branch.schwab,2023-07-01,MAILINGLIST,126,0.06,2023-08-02 22:14,2023-07-01 - 2023-07-01
misc.mailouts.schwab,2023-07-01,=EMAIL=,21619735,90780.10,2023-08-02 22:14,2023-07-01 - 2023-07-01
misc.mailouts.schwab,2023-07-01,MAILINGLIST,3803014,5518.58,2023-08-02 22:14,2023-07-01 - 2023-07-01
rrrpsclepsd.sv.schwab,2023-07-01,=EMAIL=,2,0.00,2023-08-02 22:14,2023-07-01 - 2023-07-01
schwab.dom.repository,2023-07-01,=EMAIL=,32251,1494.67,2023-08-02 22:14,2023-07-01 - 2023-07-01
sps.external.email.sv.schwab,2023-07-01,=EMAIL=,2,0.00,2023-08-02 22:14,2023-07-01 - 2023-07-01
carlsbad.branch.h.sv.schwab,2023-06-30,=EMAIL=,3,0.00,2023-08-02 22:15,2023-06-30 - 2023-06-30
carlsbad.branch.h.sv.schwab,2023-06-30,MAILINGLIST,1,0.00,2023-08-02 22:15,2023-06-30 - 2023-06-30
carlsbad.branch.sv.schwab,2023-06-30,=EMAIL=,189,0.09,2023-08-02 22:15,2023-06-30 - 2023-06-30
fax.advice.schwab,2023-06-30,=EMAIL=,110,0.06,2023-08-02 22:15,2023-06-30 - 2023-06-30
fax.advice.schwab,2023-06-30,MAILINGLIST,26,0.01,2023-08-02 22:15,2023-06-30 - 2023-06-30
fax.branch.schwab,2023-06-30,=EMAIL=,567,0.28,2023-08-02 22:15,2023-06-30 - 2023-06-30
fax.branch.schwab,2023-06-30,MAILINGLIST,172,0.08,2023-08-02 22:15,2023-06-30 - 2023-06-30
misc.mailouts.schwab,2023-06-30,=EMAIL=,7198720,114588.55,2023-08-02 22:15,2023-06-30 - 2023-06-30
misc.mailouts.schwab,2023-06-30,MAILINGLIST,4002230,5811.56,2023-08-02 22:15,2023-06-30 - 2023-06-30
rrrpsclepsd.sv.schwab,2023-06-30,=EMAIL=,1,0.00,2023-08-02 22:15,2023-06-30 - 2023-06-30
schwab.dom.repository,2023-06-30,=EMAIL=,1982550,56717.80,2023-08-02 22:15,2023-06-30 - 2023-06-30
sps.external.email.sv.schwab,2023-06-30,=EMAIL=,1,0.00,2023-08-02 22:15,2023-06-30 - 2023-06-30
carlsbad.branch.h.sv.schwab,2023-06-29,=EMAIL=,5,0.00,2023-08-02 22:16,2023-06-29 - 2023-06-29
carlsbad.branch.h.sv.schwab,2023-06-29,MAILINGLIST,1,0.00,2023-08-02 22:16,2023-06-29 - 2023-06-29
fax.advice.schwab,2023-06-29,=EMAIL=,141,0.07,2023-08-02 22:16,2023-06-29 - 2023-06-29
fax.advice.schwab,2023-06-29,MAILINGLIST,18,0.01,2023-08-02 22:16,2023-06-29 - 2023-06-29
fax.branch.schwab,2023-06-29,=EMAIL=,559,0.29,2023-08-02 22:16,2023-06-29 - 2023-06-29
fax.branch.schwab,2023-06-29,MAILINGLIST,133,0.06,2023-08-02 22:16,2023-06-29 - 2023-06-29
misc.mailouts.schwab,2023-06-29,=EMAIL=,11676207,123876.97,2023-08-02 22:16,2023-06-29 - 2023-06-29
misc.mailouts.schwab,2023-06-29,MAILINGLIST,4115229,5964.48,2023-08-02 22:16,2023-06-29 - 2023-06-29
rrrpsclepsd.sv.schwab,2023-06-29,=EMAIL=,1,0.00,2023-08-02 22:16,2023-06-29 - 2023-06-29
schwab.catchall.repository,2023-06-29,=EMAIL=,183,0.14,2023-08-02 22:16,2023-06-29 - 2023-06-29
schwab.dom.repository,2023-06-29,=EMAIL=,5850640,199379.02,2023-08-02 22:16,2023-06-29 - 2023-06-29
sps.external.email.sv.schwab,2023-06-29,=EMAIL=,2,0.00,2023-08-02 22:16,2023-06-29 - 2023-06-29
carlsbad.branch.h.sv.schwab,2023-06-28,=EMAIL=,1,0.00,2023-08-02 22:17,2023-06-28 - 2023-06-28
fax.advice.schwab,2023-06-28,=EMAIL=,45,0.02,2023-08-02 22:17,2023-06-28 - 2023-06-28
fax.advice.schwab,2023-06-28,MAILINGLIST,2,0.00,2023-08-02 22:17,2023-06-28 - 2023-06-28
fax.branch.schwab,2023-06-28,=EMAIL=,834,0.40,2023-08-02 22:17,2023-06-28 - 2023-06-28
fax.branch.schwab,2023-06-28,MAILINGLIST,1,0.00,2023-08-02 22:17,2023-06-28 - 2023-06-28
misc.mailouts.schwab,2023-06-28,=EMAIL=,1694272,113411.32,2023-08-02 22:17,2023-06-28 - 2023-06-28
misc.mailouts.schwab,2023-06-28,MAILINGLIST,113823,165.27,2023-08-02 22:17,2023-06-28 - 2023-06-28
schwab.dom.repository,2023-06-28,=EMAIL=,7370714,263388.17,2023-08-02 22:17,2023-06-28 - 2023-06-28
sps.external.email.sv.schwab,2023-06-28,=EMAIL=,1,0.00,2023-08-02 22:17,2023-06-28 - 2023-06-28
carlsbad.branch.h.sv.schwab,2023-06-27,=EMAIL=,1,0.00,2023-08-02 22:18,2023-06-27 - 2023-06-27
fax.advice.schwab,2023-06-27,=EMAIL=,107,0.05,2023-08-02 22:18,2023-06-27 - 2023-06-27
fax.advice.schwab,2023-06-27,MAILINGLIST,7,0.00,2023-08-02 22:18,2023-06-27 - 2023-06-27
fax.branch.schwab,2023-06-27,=EMAIL=,796,0.39,2023-08-02 22:18,2023-06-27 - 2023-06-27
fax.branch.schwab,2023-06-27,MAILINGLIST,31,0.01,2023-08-02 22:18,2023-06-27 - 2023-06-27
misc.mailouts.schwab,2023-06-27,=EMAIL=,7828652,113717.60,2023-08-02 22:18,2023-06-27 - 2023-06-27
misc.mailouts.schwab,2023-06-27,MAILINGLIST,547078,798.45,2023-08-02 22:18,2023-06-27 - 2023-06-27
rrrpsclepsd.sv.schwab,2023-06-27,=EMAIL=,2,0.00,2023-08-02 22:18,2023-06-27 - 2023-06-27
schwab.dom.repository,2023-06-27,=EMAIL=,5850102,175244.44,2023-08-02 22:18,2023-06-27 - 2023-06-27
carlsbad.branch.h.sv.schwab,2023-06-25,MAILINGLIST,1,0.00,2023-08-02 22:19,2023-06-25 - 2023-06-25
fax.advice.schwab,2023-06-25,=EMAIL=,15,0.01,2023-08-02 22:19,2023-06-25 - 2023-06-25
fax.advice.schwab,2023-06-25,MAILINGLIST,28,0.01,2023-08-02 22:19,2023-06-25 - 2023-06-25
fax.branch.schwab,2023-06-25,=EMAIL=,63,0.03,2023-08-02 22:19,2023-06-25 - 2023-06-25
fax.branch.schwab,2023-06-25,MAILINGLIST,135,0.06,2023-08-02 22:19,2023-06-25 - 2023-06-25
misc.mailouts.schwab,2023-06-25,=EMAIL=,2967211,6912.24,2023-08-02 22:19,2023-06-25 - 2023-06-25
misc.mailouts.schwab,2023-06-25,MAILINGLIST,4561237,6655.15,2023-08-02 22:19,2023-06-25 - 2023-06-25
schwab.dom.repository,2023-06-25,=EMAIL=,17079,591.31,2023-08-02 22:19,2023-06-25 - 2023-06-25
fax.advice.schwab,2023-06-24,=EMAIL=,44,0.02,2023-08-02 22:20,2023-06-24 - 2023-06-24
fax.advice.schwab,2023-06-24,MAILINGLIST,5,0.00,2023-08-02 22:20,2023-06-24 - 2023-06-24
fax.branch.schwab,2023-06-24,=EMAIL=,134,0.07,2023-08-02 22:20,2023-06-24 - 2023-06-24
fax.branch.schwab,2023-06-24,MAILINGLIST,44,0.02,2023-08-02 22:20,2023-06-24 - 2023-06-24
misc.mailouts.schwab,2023-06-24,=EMAIL=,6484659,65201.76,2023-08-02 22:20,2023-06-24 - 2023-06-24
misc.mailouts.schwab,2023-06-24,MAILINGLIST,737640,1070.94,2023-08-02 22:20,2023-06-24 - 2023-06-24
schwab.dom.repository,2023-06-24,=EMAIL=,22035,793.33,2023-08-02 22:20,2023-06-24 - 2023-06-24
carlsbad.branch.h.sv.schwab,2023-06-23,=EMAIL=,3,0.00,2023-08-02 22:21,2023-06-23 - 2023-06-23
executiveservices.sv.schwab,2023-06-23,=EMAIL=,1,0.00,2023-08-02 22:21,2023-06-23 - 2023-06-23
fax.advice.schwab,2023-06-23,=EMAIL=,106,0.06,2023-08-02 22:21,2023-06-23 - 2023-06-23
fax.advice.schwab,2023-06-23,MAILINGLIST,15,0.01,2023-08-02 22:21,2023-06-23 - 2023-06-23
fax.branch.schwab,2023-06-23,=EMAIL=,1361,0.65,2023-08-02 22:21,2023-06-23 - 2023-06-23
fax.branch.schwab,2023-06-23,MAILINGLIST,100,0.05,2023-08-02 22:21,2023-06-23 - 2023-06-23
misc.mailouts.schwab,2023-06-23,=EMAIL=,1255077,102975.52,2023-08-02 22:21,2023-06-23 - 2023-06-23
misc.mailouts.schwab,2023-06-23,MAILINGLIST,3139436,4477.64,2023-08-02 22:21,2023-06-23 - 2023-06-23
rrrpsclepsd.sv.schwab,2023-06-23,=EMAIL=,2,0.00,2023-08-02 22:21,2023-06-23 - 2023-06-23
schwab.dom.repository,2023-06-23,=EMAIL=,5654831,243891.71,2023-08-02 22:21,2023-06-23 - 2023-06-23
sps.external.email.sv.schwab,2023-06-23,=EMAIL=,1,0.00,2023-08-02 22:21,2023-06-23 - 2023-06-23
spsdenvertrading.sv.schwab,2023-06-23,=EMAIL=,1,0.00,2023-08-02 22:21,2023-06-23 - 2023-06-23
carlsbad.branch.h.sv.schwab,2023-06-22,=EMAIL=,1,0.00,2023-08-02 22:22,2023-06-22 - 2023-06-22
fax.advice.schwab,2023-06-22,=EMAIL=,76,0.04,2023-08-02 22:22,2023-06-22 - 2023-06-22
fax.advice.schwab,2023-06-22,MAILINGLIST,2,0.00,2023-08-02 22:22,2023-06-22 - 2023-06-22
fax.branch.schwab,2023-06-22,=EMAIL=,390,0.20,2023-08-02 22:22,2023-06-22 - 2023-06-22
fax.branch.schwab,2023-06-22,MAILINGLIST,13,0.01,2023-08-02 22:22,2023-06-22 - 2023-06-22
misc.mailouts.schwab,2023-06-22,=EMAIL=,8272564,110683.94,2023-08-02 22:22,2023-06-22 - 2023-06-22
misc.mailouts.schwab,2023-06-22,MAILINGLIST,224203,324.69,2023-08-02 22:22,2023-06-22 - 2023-06-22
schwab.dom.repository,2023-06-22,=EMAIL=,5469805,227601.48,2023-08-02 22:22,2023-06-22 - 2023-06-22
carlsbad.branch.h.sv.schwab,2023-06-21,=EMAIL=,1,0.00,2023-08-02 22:23,2023-06-21 - 2023-06-21
fax.advice.schwab,2023-06-21,=EMAIL=,99,0.05,2023-08-02 22:23,2023-06-21 - 2023-06-21
fax.advice.schwab,2023-06-21,MAILINGLIST,3,0.00,2023-08-02 22:23,2023-06-21 - 2023-06-21
fax.branch.schwab,2023-06-21,=EMAIL=,490,0.26,2023-08-02 22:23,2023-06-21 - 2023-06-21
fax.branch.schwab,2023-06-21,MAILINGLIST,1,0.00,2023-08-02 22:23,2023-06-21 - 2023-06-21
misc.mailouts.schwab,2023-06-21,=EMAIL=,2892213,130346.62,2023-08-02 22:23,2023-06-21 - 2023-06-21
misc.mailouts.schwab,2023-06-21,MAILINGLIST,126285,185.34,2023-08-02 22:23,2023-06-21 - 2023-06-21
rrrpsclepsd.sv.schwab,2023-06-21,=EMAIL=,1,0.00,2023-08-02 22:23,2023-06-21 - 2023-06-21
schwab.dom.repository,2023-06-21,=EMAIL=,8739389,589193.51,2023-08-02 22:23,2023-06-21 - 2023-06-21
sps.external.email.sv.schwab,2023-06-21,=EMAIL=,1,0.00,2023-08-02 22:23,2023-06-21 - 2023-06-21
fax.advice.schwab,2023-06-20,=EMAIL=,256,0.12,2023-08-02 22:24,2023-06-20 - 2023-06-20
fax.advice.schwab,2023-06-20,MAILINGLIST,8,0.00,2023-08-02 22:24,2023-06-20 - 2023-06-20
fax.branch.schwab,2023-06-20,=EMAIL=,1073,0.52,2023-08-02 22:24,2023-06-20 - 2023-06-20
fax.branch.schwab,2023-06-20,MAILINGLIST,46,0.02,2023-08-02 22:24,2023-06-20 - 2023-06-20
misc.mailouts.schwab,2023-06-20,=EMAIL=,1454444,79758.23,2023-08-02 22:24,2023-06-20 - 2023-06-20
misc.mailouts.schwab,2023-06-20,MAILINGLIST,685766,1001.59,2023-08-02 22:24,2023-06-20 - 2023-06-20
schwab.dom.repository,2023-06-20,=EMAIL=,385665,15726.79,2023-08-02 22:24,2023-06-20 - 2023-06-20
carlsbad.branch.h.sv.schwab,2023-06-19,MAILINGLIST,2,0.00,2023-08-02 22:25,2023-06-19 - 2023-06-19
fax.advice.schwab,2023-06-19,MAILINGLIST,26,0.01,2023-08-02 22:25,2023-06-19 - 2023-06-19
fax.branch.schwab,2023-06-19,=EMAIL=,8,0.00,2023-08-02 22:25,2023-06-19 - 2023-06-19
fax.branch.schwab,2023-06-19,MAILINGLIST,142,0.06,2023-08-02 22:25,2023-06-19 - 2023-06-19
misc.mailouts.schwab,2023-06-19,=EMAIL=,146148,7223.64,2023-08-02 22:25,2023-06-19 - 2023-06-19
misc.mailouts.schwab,2023-06-19,MAILINGLIST,2349679,3415.02,2023-08-02 22:25,2023-06-19 - 2023-06-19
schwab.dom.repository,2023-06-19,=EMAIL=,224692,9004.42,2023-08-02 22:25,2023-06-19 - 2023-06-19
fax.advice.schwab,2023-06-18,=EMAIL=,3,0.00,2023-08-02 22:26,2023-06-18 - 2023-06-18
fax.advice.schwab,2023-06-18,MAILINGLIST,28,0.01,2023-08-02 22:26,2023-06-18 - 2023-06-18
fax.branch.schwab,2023-06-18,=EMAIL=,1,0.00,2023-08-02 22:26,2023-06-18 - 2023-06-18
fax.branch.schwab,2023-06-18,MAILINGLIST,112,0.05,2023-08-02 22:26,2023-06-18 - 2023-06-18
misc.mailouts.schwab,2023-06-18,=EMAIL=,131262,6656.36,2023-08-02 22:26,2023-06-18 - 2023-06-18
misc.mailouts.schwab,2023-06-18,MAILINGLIST,2144884,3124.70,2023-08-02 22:26,2023-06-18 - 2023-06-18
schwab.dom.repository,2023-06-18,=EMAIL=,23038,886.87,2023-08-02 22:26,2023-06-18 - 2023-06-18
fax.advice.schwab,2023-06-17,=EMAIL=,33,0.02,2023-08-02 22:27,2023-06-17 - 2023-06-17
fax.advice.schwab,2023-06-17,MAILINGLIST,18,0.01,2023-08-02 22:27,2023-06-17 - 2023-06-17
fax.branch.schwab,2023-06-17,=EMAIL=,981,0.48,2023-08-02 22:27,2023-06-17 - 2023-06-17
fax.branch.schwab,2023-06-17,MAILINGLIST,151,0.07,2023-08-02 22:27,2023-06-17 - 2023-06-17
misc.mailouts.schwab,2023-06-17,=EMAIL=,968815,70767.97,2023-08-02 22:27,2023-06-17 - 2023-06-17
misc.mailouts.schwab,2023-06-17,MAILINGLIST,4488162,6501.73,2023-08-02 22:27,2023-06-17 - 2023-06-17
schwab.dom.repository,2023-06-17,=EMAIL=,29928,1047.58,2023-08-02 22:27,2023-06-17 - 2023-06-17
carlsbad.branch.h.sv.schwab,2023-06-16,=EMAIL=,2,0.00,2023-08-02 22:28,2023-06-16 - 2023-06-16
fax.advice.schwab,2023-06-16,=EMAIL=,55,0.03,2023-08-02 22:28,2023-06-16 - 2023-06-16
fax.advice.schwab,2023-06-16,MAILINGLIST,16,0.01,2023-08-02 22:28,2023-06-16 - 2023-06-16
fax.branch.schwab,2023-06-16,=EMAIL=,949,0.45,2023-08-02 22:28,2023-06-16 - 2023-06-16
fax.branch.schwab,2023-06-16,MAILINGLIST,115,0.05,2023-08-02 22:28,2023-06-16 - 2023-06-16
misc.mailouts.schwab,2023-06-16,=EMAIL=,2484891,120466.07,2023-08-02 22:28,2023-06-16 - 2023-06-16
misc.mailouts.schwab,2023-06-16,MAILINGLIST,3465473,5097.91,2023-08-02 22:28,2023-06-16 - 2023-06-16
schwab.dom.repository,2023-06-16,=EMAIL=,350133,14141.22,2023-08-02 22:28,2023-06-16 - 2023-06-16
carlsbad.branch.h.sv.schwab,2023-06-15,MAILINGLIST,1,0.00,2023-08-02 22:29,2023-06-15 - 2023-06-15
fax.advice.schwab,2023-06-15,=EMAIL=,488,0.23,2023-08-02 22:29,2023-06-15 - 2023-06-15
fax.advice.schwab,2023-06-15,MAILINGLIST,14,0.01,2023-08-02 22:29,2023-06-15 - 2023-06-15
fax.branch.schwab,2023-06-15,=EMAIL=,570,0.28,2023-08-02 22:29,2023-06-15 - 2023-06-15
fax.branch.schwab,2023-06-15,MAILINGLIST,96,0.04,2023-08-02 22:29,2023-06-15 - 2023-06-15
misc.mailouts.schwab,2023-06-15,=EMAIL=,1639265,119821.56,2023-08-02 22:29,2023-06-15 - 2023-06-15
misc.mailouts.schwab,2023-06-15,MAILINGLIST,1711125,2481.84,2023-08-02 22:29,2023-06-15 - 2023-06-15
schwab.dom.repository,2023-06-15,=EMAIL=,3940081,188840.71,2023-08-02 22:29,2023-06-15 - 2023-06-15
fax.advice.schwab,2023-06-14,=EMAIL=,82,0.04,2023-08-02 22:30,2023-06-14 - 2023-06-14
fax.advice.schwab,2023-06-14,MAILINGLIST,1,0.00,2023-08-02 22:30,2023-06-14 - 2023-06-14
fax.branch.schwab,2023-06-14,=EMAIL=,1075,0.52,2023-08-02 22:30,2023-06-14 - 2023-06-14
fax.branch.schwab,2023-06-14,MAILINGLIST,4,0.00,2023-08-02 22:30,2023-06-14 - 2023-06-14
misc.mailouts.schwab,2023-06-14,=EMAIL=,2955101,125025.41,2023-08-02 22:30,2023-06-14 - 2023-06-14
misc.mailouts.schwab,2023-06-14,MAILINGLIST,131336,190.62,2023-08-02 22:30,2023-06-14 - 2023-06-14
schwab.dom.repository,2023-06-14,=EMAIL=,2507036,102608.42,2023-08-02 22:30,2023-06-14 - 2023-06-14
fax.advice.schwab,2023-06-13,=EMAIL=,185,0.10,2023-08-02 22:31,2023-06-13 - 2023-06-13
fax.advice.schwab,2023-06-13,MAILINGLIST,4,0.00,2023-08-02 22:31,2023-06-13 - 2023-06-13
fax.branch.schwab,2023-06-13,=EMAIL=,975,0.47,2023-08-02 22:31,2023-06-13 - 2023-06-13
fax.branch.schwab,2023-06-13,MAILINGLIST,42,0.02,2023-08-02 22:31,2023-06-13 - 2023-06-13
misc.mailouts.schwab,2023-06-13,=EMAIL=,1880066,117577.02,2023-08-02 22:31,2023-06-13 - 2023-06-13
misc.mailouts.schwab,2023-06-13,MAILINGLIST,564397,823.18,2023-08-02 22:31,2023-06-13 - 2023-06-13
schwab.dom.repository,2023-06-13,=EMAIL=,1558796,63517.02,2023-08-02 22:31,2023-06-13 - 2023-06-13
carlsbad.branch.h.sv.schwab,2023-06-12,=EMAIL=,1,0.00,2023-08-02 22:32,2023-06-12 - 2023-06-12
executiveservices.sv.schwab,2023-06-12,MAILINGLIST,1,0.00,2023-08-02 22:32,2023-06-12 - 2023-06-12
fax.advice.schwab,2023-06-12,=EMAIL=,37,0.02,2023-08-02 22:32,2023-06-12 - 2023-06-12
fax.advice.schwab,2023-06-12,MAILINGLIST,23,0.01,2023-08-02 22:32,2023-06-12 - 2023-06-12
fax.branch.schwab,2023-06-12,=EMAIL=,262,0.13,2023-08-02 22:32,2023-06-12 - 2023-06-12
fax.branch.schwab,2023-06-12,MAILINGLIST,128,0.06,2023-08-02 22:32,2023-06-12 - 2023-06-12
misc.mailouts.schwab,2023-06-12,=EMAIL=,919036,56145.26,2023-08-02 22:32,2023-06-12 - 2023-06-12
misc.mailouts.schwab,2023-06-12,MAILINGLIST,2271147,3294.96,2023-08-02 22:32,2023-06-12 - 2023-06-12
schwab.dom.repository,2023-06-12,=EMAIL=,443056,17419.28,2023-08-02 22:32,2023-06-12 - 2023-06-12
sps.external.email.sv.schwab,2023-06-12,MAILINGLIST,1,0.00,2023-08-02 22:32,2023-06-12 - 2023-06-12
carlsbad.branch.sv.schwab,2023-06-11,=EMAIL=,1,0.00,2023-08-02 22:33,2023-06-11 - 2023-06-11
fax.advice.schwab,2023-06-11,=EMAIL=,2,0.00,2023-08-02 22:33,2023-06-11 - 2023-06-11
fax.advice.schwab,2023-06-11,MAILINGLIST,39,0.02,2023-08-02 22:33,2023-06-11 - 2023-06-11
fax.branch.schwab,2023-06-11,=EMAIL=,4,0.00,2023-08-02 22:33,2023-06-11 - 2023-06-11
fax.branch.schwab,2023-06-11,MAILINGLIST,185,0.08,2023-08-02 22:33,2023-06-11 - 2023-06-11
misc.mailouts.schwab,2023-06-11,=EMAIL=,151345,7550.54,2023-08-02 22:33,2023-06-11 - 2023-06-11
misc.mailouts.schwab,2023-06-11,MAILINGLIST,2251215,3276.88,2023-08-02 22:33,2023-06-11 - 2023-06-11
schwab.dom.repository,2023-06-11,=EMAIL=,18349,638.92,2023-08-02 22:33,2023-06-11 - 2023-06-11
carlsbad.branch.h.sv.schwab,2023-06-10,MAILINGLIST,2,0.00,2023-08-02 22:34,2023-06-10 - 2023-06-10
fax.advice.schwab,2023-06-10,=EMAIL=,532,0.25,2023-08-02 22:34,2023-06-10 - 2023-06-10
fax.advice.schwab,2023-06-10,MAILINGLIST,68,0.03,2023-08-02 22:34,2023-06-10 - 2023-06-10
fax.branch.schwab,2023-06-10,=EMAIL=,1300,0.63,2023-08-02 22:34,2023-06-10 - 2023-06-10
fax.branch.schwab,2023-06-10,MAILINGLIST,411,0.18,2023-08-02 22:34,2023-06-10 - 2023-06-10
misc.mailouts.schwab,2023-06-10,=EMAIL=,4002593,62102.95,2023-08-02 22:34,2023-06-10 - 2023-06-10
misc.mailouts.schwab,2023-06-10,MAILINGLIST,10629105,15319.40,2023-08-02 22:34,2023-06-10 - 2023-06-10
rrrpsclepsd.sv.schwab,2023-06-10,MAILINGLIST,2,0.00,2023-08-02 22:34,2023-06-10 - 2023-06-10
schwab.dom.repository,2023-06-10,=EMAIL=,193833,8327.22,2023-08-02 22:34,2023-06-10 - 2023-06-10
carlsbad.branch.h.sv.schwab,2023-06-08,MAILINGLIST,2,0.00,2023-08-02 22:35,2023-06-08 - 2023-06-08
fax.advice.schwab,2023-06-08,=EMAIL=,72,0.04,2023-08-02 22:35,2023-06-08 - 2023-06-08
fax.advice.schwab,2023-06-08,MAILINGLIST,29,0.01,2023-08-02 22:35,2023-06-08 - 2023-06-08
